Speaker,Footedness,Info_str,Place,GDUR,PVEL,T2PVEL,MDISP
F2,footed,cntr,tongue_tip,96,155.75,76,4.8
F2,footed,brd,lower_lip,84,86.82,48,4.8
F2,footed,bck,tongue_body,108,112.3,64,7.6
F2,unfooted,nrw,lower_lip,80,144.96,56,7.9
F2,unfooted,cntr,tongue_tip,60,199.32,28,7.1
F2,unfooted,bck,lower_lip,72,41.35,32,2
F2,footed,brd,tongue_tip,92,115.36,64,4.1
F2,unfooted,nrw,tongue_tip,56,94.33,32,3.3
F2,footed,bck,lower_lip,68,50.6,36,2.4
F2,footed,nrw,tongue_body,136,129.34,52,11
F2,unfooted,brd,tongue_tip,52,93.63,28,3.1
F2,footed,bck,tongue_body,124,106.58,64,8.9
F2,footed,brd,tongue_body,132,125.68,72,9.6
F2,unfooted,brd,lower_lip,84,92.82,32,4.6
F2,footed,cntr,tongue_body,140,130.78,60,10.3
F2,footed,nrw,tongue_tip,92,157.22,64,5.2
F2,unfooted,cntr,tongue_body,168,116.21,80,10.4
F2,unfooted,bck,tongue_body,112,90.74,56,6.6
F2,unfooted,bck,lower_lip,76,59.05,28,3
F2,footed,cntr,lower_lip,92,95.48,36,5.5
F2,unfooted,cntr,tongue_tip,92,118.79,36,5.7
F2,footed,cntr,tongue_tip,108,144.66,72,6.4
F2,footed,nrw,lower_lip,84,123.75,40,7.1
F2,unfooted,brd,tongue_body,136,99.95,68,8.2
F2,unfooted,nrw,tongue_body,116,66.16,52,5
F2,unfooted,cntr,lower_lip,56,102.52,40,3.6
F2,unfooted,nrw,lower_lip,108,54.76,48,4.4
F2,footed,brd,lower_lip,88,85.23,44,4.9
F2,footed,bck,tongue_tip,100,84.03,68,4
F2,unfooted,bck,tongue_tip,88,117.02,64,4.4
F2,unfooted,nrw,lower_lip,64,102.56,40,4.1
F2,footed,brd,lower_lip,84,91.92,40,4.8
F2,unfooted,bck,tongue_tip,88,68.7,52,3.5
F2,unfooted,cntr,tongue_tip,112,141.23,80,5.7
F2,footed,brd,tongue_body,148,118.63,72,9.7
F2,unfooted,bck,lower_lip,88,85.15,44,4.8
F2,footed,nrw,lower_lip,88,108.53,36,5.5
F2,unfooted,cntr,tongue_body,156,85.63,76,8.5
F2,footed,cntr,tongue_body,136,105.61,72,8.9
F2,footed,bck,tongue_tip,96,135.83,72,4.5
F2,unfooted,brd,tongue_body,124,86.32,64,6.7
F2,footed,nrw,tongue_tip,104,161.89,84,4.9
F2,footed,nrw,tongue_body,156,82.7,104,7.5
F2,unfooted,bck,tongue_body,184,103.96,84,10.5
F2,footed,bck,lower_lip,60,97.4,36,3.6
F2,footed,cntr,lower_lip,84,95.48,32,5.2
F2,unfooted,brd,tongue_tip,52,117.62,28,3.9
F2,unfooted,cntr,lower_lip,80,53.16,32,3.2
F2,unfooted,nrw,tongue_tip,56,103.56,28,3.6
F2,footed,brd,tongue_tip,96,106.9,76,3.5
F2,footed,cntr,tongue_tip,100,87.34,72,4
F2,unfooted,brd,lower_lip,64,56.09,32,2.4
F2,footed,bck,tongue_tip,92,119.45,68,5.3
F2,unfooted,brd,tongue_body,108,94.5,56,6.8
F2,footed,cntr,tongue_body,148,110.47,76,9
F2,footed,nrw,tongue_tip,64,70.49,36,3
F2,unfooted,bck,tongue_tip,80,139.55,56,4.6
F2,footed,brd,tongue_tip,104,63.19,80,1.7
F2,unfooted,nrw,tongue_tip,52,87.98,36,2.6
F2,unfooted,cntr,tongue_body,128,93.46,60,7.5
F2,unfooted,brd,lower_lip,72,53.63,36,2.7
